video;num_frames;frame_idx;elapsed_time;class_names;logits;probs;pred_label_idx;pred_label;eager_mode;SKIP_Only
aihub__lb_smoke__0208.mp4;360;1;0.053115827;['Fire', 'None', 'SmokeOnly'];[-1.5110058784484863, 1.7728606462478638, -0.5508872866630554];[0.03301339969038963, 0.8807554244995117, 0.08623120188713074];1;None;TRUE;skipped
aihub__lb_smoke__0208.mp4;360;2;0.045879426;['Fire', 'None', 'SmokeOnly'];[-1.6920961141586304, 1.3980796337127686, 0.08148492872714996];[0.03463461250066757, 0.7613012790679932, 0.20406416058540344];1;None;TRUE;skipped
aihub__lb_smoke__0208.mp4;360;3;0.042243052;['Fire', 'None', 'SmokeOnly'];[-1.7046233415603638, 1.337868094444275, 0.17331081628799438];[0.03509094938635826, 0.7354148626327515, 0.2294941544532776];1;None;TRUE;skipped
aihub__lb_smoke__0208.mp4;360;4;0.040607401;['Fire', 'None', 'SmokeOnly'];[-1.6836974620819092, 1.3844836950302124, 0.0899600237607956];[0.035217318683862686, 0.7572694420814514, 0.20751330256462097];1;None;TRUE;skipped
aihub__lb_smoke__0208.mp4;360;5;0.046191465;['Fire', 'None', 'SmokeOnly'];[-1.6771776676177979, 1.3645808696746826, 0.10603270679712296];[0.03585391119122505, 0.750853955745697, 0.2132921814918518];1;None;TRUE;skipped
aihub__lb_smoke__0208.mp4;360;6;0.040852483;['Fire', 'None', 'SmokeOnly'];[-1.6883745193481445, 1.3422569036483765, 0.14971128106117249];[0.035720910876989365, 0.7397910952568054, 0.22448799014091492];1;None;TRUE;skipped
aihub__lb_smoke__0208.mp4;360;7;0.043525534;['Fire', 'None', 'SmokeOnly'];[-1.706574559211731, 1.3622636795043945, 0.14821654558181763];[0.03459339588880539, 0.7443422675132751, 0.22106434404850006];1;None;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;8;0.002048337;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;9;0.001960868;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;10;0.001828656;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;11;0.001991477;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;12;0.002116568;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;13;0.04504162;['Fire', 'None', 'SmokeOnly'];[-1.7043439149856567, 1.6147525310516357, -0.2006993144750595];[0.030181005597114563, 0.8340632915496826, 0.1357557624578476];1;None;FALSE;None
aihub__lb_smoke__0208.mp4;360;14;0.046493301;['Fire', 'None', 'SmokeOnly'];[-1.6959009170532227, 1.6441442966461182, -0.2248321920633316];[0.02978469803929329, 0.8405361771583557, 0.12967917323112488];1;None;FALSE;None
aihub__lb_smoke__0208.mp4;360;15;0.043096588;['Fire', 'None', 'SmokeOnly'];[-1.6986297369003296, 1.6699001789093018, -0.2553574740886688];[0.029179753735661507, 0.8472577333450317, 0.1235625147819519];1;None;FALSE;None
aihub__lb_smoke__0208.mp4;360;16;0.042922501;['Fire', 'None', 'SmokeOnly'];[-1.6967917680740356, 1.6380549669265747, -0.21018457412719727];[0.029854178428649902, 0.8381286263465881, 0.13201716542243958];1;None;FALSE;None
aihub__lb_smoke__0208.mp4;360;17;0.0018294;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;18;0.001877013;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;19;0.002058008;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;20;0.00206109;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;21;0.001921757;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;22;0.00220308;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;23;0.00172312;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;24;0.001821004;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;25;0.001709516;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
aihub__lb_smoke__0208.mp4;360;26;0.002044192;['Fire', 'None', 'SmokeOnly'];[0.0, 0.0, 0.0];[0.0, 0.0, 0.0];-1;skipped;FALSE;skipped
