;video_path;width;height;frame_count;fps
0;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_0016.mp4;1920;1080;360;30
1;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_0035.mp4;1920;1080;360;30
2;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_0037.mp4;1920;1080;360;30
3;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_0178.mp4;1920;1080;360;30
4;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_0182.mp4;1920;1080;360;30
5;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_0195.mp4;1920;1080;360;30
6;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_0198.mp4;1920;1080;360;30
7;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_0983.mp4;1920;1080;360;30
8;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1029.mp4;1920;1080;360;30
9;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1144.mp4;1920;1080;360;30
10;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1145.mp4;1920;1080;360;30
11;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1146.mp4;1920;1080;360;30
12;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1163.mp4;1920;1080;360;30
13;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1164.mp4;1920;1080;360;30
14;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1169.mp4;1920;1080;360;30
15;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1180.mp4;1920;1080;360;30
16;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1181.mp4;1920;1080;360;30
17;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1182.mp4;1920;1080;360;30
18;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1183.mp4;1920;1080;360;30
19;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1193.mp4;1920;1080;360;30
20;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1194.mp4;1920;1080;360;30
21;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1195.mp4;1920;1080;360;30
22;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1235.mp4;1920;1080;360;30
23;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1236.mp4;1920;1080;360;30
24;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1237.mp4;1920;1080;360;30
25;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1238.mp4;1920;1080;360;30
26;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1239.mp4;1920;1080;360;30
27;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1261.mp4;1920;1080;360;30
28;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1262.mp4;1920;1080;360;30
29;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1266.mp4;1920;1080;360;30
30;/mnt/d/zdataset_paper2/build_video_dataset/my_firesmoke_indoor/firesmoke/aihub_lb_fire_1267.mp4;1920;1080;360;30
