video;frame_idx;num_frames;gt_label;video_path;temp_method_motion_block.AccMotionDet;temp_method_motion_block.AccMotionDet_dir;no_temp_method;no_temp_method_dir
aihub__lb_fire__1163.mp4;13;360;fire_smoke;/mnt/e/SyncData/paper2_main/datasets/UFireIndoorFull/test/test_firesmoke/aihub__lb_fire__1163.mp4;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/1GPU_SV__ds_UFireIndoorTest__mt_temp_method_motion_block__e1ccb7b889a0__20260401.144240;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/MainPC__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260330.205208
aihub__lb_fire__1163.mp4;14;360;fire_smoke;/mnt/e/SyncData/paper2_main/datasets/UFireIndoorFull/test/test_firesmoke/aihub__lb_fire__1163.mp4;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/1GPU_SV__ds_UFireIndoorTest__mt_temp_method_motion_block__e1ccb7b889a0__20260401.144240;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/MainPC__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260330.205208
aihub__lb_fire__1163.mp4;15;360;fire_smoke;/mnt/e/SyncData/paper2_main/datasets/UFireIndoorFull/test/test_firesmoke/aihub__lb_fire__1163.mp4;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/1GPU_SV__ds_UFireIndoorTest__mt_temp_method_motion_block__e1ccb7b889a0__20260401.144240;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/MainPC__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260330.205208
aihub__lb_fire__1163.mp4;16;360;fire_smoke;/mnt/e/SyncData/paper2_main/datasets/UFireIndoorFull/test/test_firesmoke/aihub__lb_fire__1163.mp4;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/1GPU_SV__ds_UFireIndoorTest__mt_temp_method_motion_block__e1ccb7b889a0__20260401.144240;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/MainPC__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260330.205208
aihub__lb_fire__1163.mp4;17;360;fire_smoke;/mnt/e/SyncData/paper2_main/datasets/UFireIndoorFull/test/test_firesmoke/aihub__lb_fire__1163.mp4;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/1GPU_SV__ds_UFireIndoorTest__mt_temp_method_motion_block__e1ccb7b889a0__20260401.144240;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/MainPC__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260330.205208
aihub__lb_fire__1163.mp4;19;360;fire_smoke;/mnt/e/SyncData/paper2_main/datasets/UFireIndoorFull/test/test_firesmoke/aihub__lb_fire__1163.mp4;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/1GPU_SV__ds_UFireIndoorTest__mt_temp_method_motion_block__e1ccb7b889a0__20260401.144240;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/MainPC__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260330.205208
aihub__lb_fire__1163.mp4;20;360;fire_smoke;/mnt/e/SyncData/paper2_main/datasets/UFireIndoorFull/test/test_firesmoke/aihub__lb_fire__1163.mp4;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/1GPU_SV__ds_UFireIndoorTest__mt_temp_method_motion_block__e1ccb7b889a0__20260401.144240;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/MainPC__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260330.205208
aihub__lb_fire__1163.mp4;36;360;fire_smoke;/mnt/e/SyncData/paper2_main/datasets/UFireIndoorFull/test/test_firesmoke/aihub__lb_fire__1163.mp4;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/1GPU_SV__ds_UFireIndoorTest__mt_temp_method_motion_block__e1ccb7b889a0__20260401.144240;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/MainPC__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260330.205208
aihub__lb_fire__1163.mp4;39;360;fire_smoke;/mnt/e/SyncData/paper2_main/datasets/UFireIndoorFull/test/test_firesmoke/aihub__lb_fire__1163.mp4;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/1GPU_SV__ds_UFireIndoorTest__mt_temp_method_motion_block__e1ccb7b889a0__20260401.144240;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/MainPC__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260330.205208
aihub__lb_fire__1163.mp4;40;360;fire_smoke;/mnt/e/SyncData/paper2_main/datasets/UFireIndoorFull/test/test_firesmoke/aihub__lb_fire__1163.mp4;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/1GPU_SV__ds_UFireIndoorTest__mt_temp_method_motion_block__e1ccb7b889a0__20260401.144240;none;/mnt/e/SyncData/paper2_main/zout/reports/baseline_vs_accMotion/MainPC__ds_UFireIndoorTest__mt_no_temp_method__af4b0d32a3d2__20260330.205208
